DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
18-04-2019,1462,1478.8,1460.3,1465.35,37336,1671
16-04-2019,1449.9,1464.9,1442.05,1455.85,56757,2382
15-04-2019,1446.95,1450.65,1427,1432.3,39459,1482
12-04-2019,1430,1444.8,1425.15,1437.6,95241,3135
11-04-2019,1411.45,1431.6,1409.65,1422.65,63471,3071
10-04-2019,1458,1458,1405,1412.45,109638,4389
09-04-2019,1470,1474.1,1439.7,1443.5,545787,8063
08-04-2019,1519.9,1519.9,1486.95,1496.4,24122,1245
05-04-2019,1518.95,1523.7,1504.05,1514.75,33942,1316
04-04-2019,1510,1525,1504,1518.7,51385,2483
03-04-2019,1518,1529.95,1491.25,1496.95,46421,2230
02-04-2019,1490.2,1520,1485,1515.75,55390,2446
01-04-2019,1497.55,1503.75,1487.85,1490.45,18371,823
29-03-2019,1500.7,1507.95,1485,1491.9,33708,1150
28-03-2019,1482,1505,1473.7,1494.5,48039,1616
27-03-2019,1486.55,1495,1465.9,1472.9,87561,2305
26-03-2019,1465.95,1491.25,1458,1484.45,162398,2328
25-03-2019,1466.5,1474.8,1452.3,1456.6,67266,1743
22-03-2019,1465,1479,1454.1,1470.7,87506,2144
20-03-2019,1456.2,1464.8,1449,1454.95,53333,1610
19-03-2019,1446,1458.95,1440.2,1453.9,20394,1288
18-03-2019,1441.3,1459,1436.35,1445.8,37582,1719
15-03-2019,1435.05,1456.65,1430,1432.25,49348,1790
14-03-2019,1435.2,1446,1420.45,1434.05,54271,2096
12-03-2019,1418.5,1444.35,1418.5,1427.25,49682,2081
11-03-2019,1383.6,1423.5,1383.6,1417.9,225655,5291
08-03-2019,1397.25,1397.25,1380.7,1383.6,31762,1461
07-03-2019,1399.05,1405.2,1392.05,1397.25,36617,1533
06-03-2019,1406.05,1408,1387.2,1393.75,86206,2634
05-03-2019,1394.5,1409,1384.8,1401.2,49259,1821
01-03-2019,1407.6,1417.7,1388.15,1392.15,40824,1971
28-02-2019,1413,1415.45,1401,1405.05,64092,1195
27-02-2019,1401.25,1428.45,1395.4,1402.5,115782,2656
26-02-2019,1399,1406.5,1379.15,1401.25,32435,1287
25-02-2019,1402.8,1405.8,1391.75,1398.75,30741,1766
22-02-2019,1400,1406.95,1383.95,1398.3,115191,928
21-02-2019,1398.55,1407.75,1392,1397.75,77586,4201
20-02-2019,1384.15,1396.4,1377,1394.4,27431,1042
19-02-2019,1376,1397,1372,1378.95,25386,1393
18-02-2019,1400,1400,1346.75,1379.75,61173,2331
15-02-2019,1399.45,1402.8,1373,1395.25,44934,1345
14-02-2019,1419.65,1422.45,1397.05,1399.45,30053,1396
13-02-2019,1455.9,1455.9,1416.75,1423.1,22255,854
12-02-2019,1435,1456.55,1434.55,1448.7,109386,2941
11-02-2019,1450,1456.15,1427,1437.95,45399,2012
08-02-2019,1475,1478.6,1445,1448.4,44825,1602
07-02-2019,1474.75,1476,1457.65,1472.05,27995,1261
06-02-2019,1468.7,1472.95,1433.85,1465.85,48299,1967
05-02-2019,1444,1465.95,1444,1450.45,34126,1452
04-02-2019,1453,1453,1430.3,1448.4,41293,2473
01-02-2019,1416,1469.35,1409.5,1456.95,144133,5202
31-01-2019,1396.45,1415,1392.05,1412.65,62578,2446
30-01-2019,1394,1415,1373.5,1388.75,76583,2549
29-01-2019,1380,1400,1373.05,1392.5,100064,3605
28-01-2019,1370,1390,1368.35,1379.2,117696,1912
25-01-2019,1405,1415,1353.15,1372.2,93230,3800
24-01-2019,1400,1413.3,1396,1400.25,222006,4597
23-01-2019,1430,1430,1390.75,1396.05,134965,5175
22-01-2019,1425,1431.5,1378,1406.55,298450,8604
21-01-2019,1399.8,1424.2,1396.5,1420.65,369857,5639
18-01-2019,1399.75,1404.25,1384.05,1401.3,151185,1524
17-01-2019,1397,1399.2,1385.2,1389.45,46009,1439
16-01-2019,1407,1413.6,1386.3,1389,79935,1084
15-01-2019,1388.45,1414,1388.45,1406.05,35551,1862
14-01-2019,1410,1410.25,1386.8,1388.4,80948,1455
11-01-2019,1397,1406.6,1394,1402.2,26143,1345
10-01-2019,1387.1,1402.35,1387.1,1397.55,32690,1162
09-01-2019,1411.95,1413.5,1390,1402.9,263397,3955
08-01-2019,1400,1412.75,1396.55,1401.25,58379,2934
07-01-2019,1394.4,1404.05,1384.5,1394.8,89437,1701
04-01-2019,1388,1401.3,1380.05,1385.3,70056,2724
03-01-2019,1382,1392,1379.95,1385.15,132887,4403
02-01-2019,1371,1386.75,1363.3,1381.55,84625,1513
01-01-2019,1380,1380.1,1351.6,1371.85,43844,1165
31-12-2018,1379.5,1379.5,1359.75,1373.7,36987,1260
28-12-2018,1372.1,1384.25,1361,1365.35,65162,1975
27-12-2018,1362.5,1385,1355.1,1367.05,171307,4566
26-12-2018,1372.6,1373.6,1344.35,1362.2,278457,3566
24-12-2018,1390,1390.15,1352.2,1356.05,143992,2374
21-12-2018,1444,1444,1382.4,1387.8,101349,3147
20-12-2018,1392,1431.5,1389.8,1425.3,348911,5122
19-12-2018,1370,1404.9,1369.9,1400.4,335104,6281
18-12-2018,1344.5,1358.95,1330,1354.45,156641,2007
17-12-2018,1342,1350,1330.3,1334.85,134187,1925
14-12-2018,1335,1349.55,1319.5,1340.05,96372,3140
13-12-2018,1340,1342,1316,1320.15,111751,1595
12-12-2018,1323.95,1336.5,1312.3,1328.7,333795,2675
11-12-2018,1263,1334.45,1254.35,1323.95,137533,4933
10-12-2018,1299,1306.1,1263.3,1272.7,95741,2053
07-12-2018,1311.8,1323.15,1300,1318.6,143387,2595
06-12-2018,1330,1330,1287,1295.05,68703,1939
05-12-2018,1330,1342.2,1323.65,1328.3,101613,1251
04-12-2018,1346,1353.75,1326.5,1329.35,118747,1635
03-12-2018,1349.9,1360,1333.5,1339.9,49563,1494
30-11-2018,1352,1361.75,1341,1344.9,65633,1929
29-11-2018,1332.2,1355.65,1332,1352.65,66655,2001
28-11-2018,1341,1358,1318.15,1323.65,58394,2026
27-11-2018,1305.05,1345.9,1305.05,1339.2,131208,1463
26-11-2018,1330,1357.65,1323,1349.6,587377,5369
22-11-2018,1330,1330,1309.45,1313.85,112036,1249
21-11-2018,1326.25,1341.8,1314,1322.9,81450,2504
20-11-2018,1321,1330.9,1304.05,1306.6,93864,2305
19-11-2018,1332.9,1332.9,1305.3,1311.9,91251,2456
16-11-2018,1320,1332,1313.55,1320.45,118380,2100
15-11-2018,1319.9,1333,1311,1312.25,523482,2404
14-11-2018,1322,1337,1290,1319.9,286905,4496
13-11-2018,1279,1299,1279,1284.8,173899,2409
12-11-2018,1298.9,1314.95,1272.85,1275.55,89706,2844
09-11-2018,1265,1307.25,1259.5,1298.2,158630,4604
07-11-2018,1250,1253.4,1245,1250.85,10843,489
06-11-2018,1242,1254.45,1232.1,1238.75,51561,1238
05-11-2018,1254,1260.25,1233.5,1242.15,91858,2242
02-11-2018,1240,1289.65,1227.8,1246.15,288173,6056
01-11-2018,1229,1244.05,1212.4,1217.2,80205,2440
31-10-2018,1210,1232,1185,1227.25,112677,2270
30-10-2018,1192,1207.8,1176.75,1197.45,45521,1659
29-10-2018,1190.25,1212.8,1187,1195,90499,2391
26-10-2018,1203,1205,1168.8,1189.45,204879,8145
25-10-2018,1180,1211.15,1153.15,1200.6,102248,3527
24-10-2018,1164,1199.2,1150.8,1189.95,175754,6577
23-10-2018,1133,1190,1119.6,1138.8,669485,20278
22-10-2018,1260,1260,1193,1201.45,77845,3191
19-10-2018,1267.9,1287.4,1221.95,1237.95,184590,8405
17-10-2018,1278.1,1281.35,1253,1256.2,37259,1969
16-10-2018,1272.05,1283.5,1255,1266.8,61487,2071
15-10-2018,1260,1260,1242.9,1246.55,37994,1215
12-10-2018,1235,1265.95,1235,1261.5,61571,2301
11-10-2018,1208,1220.25,1194.2,1216.05,65177,2789
10-10-2018,1215,1240.5,1181.2,1225.95,68369,3843
09-10-2018,1256,1261.5,1191.45,1202,103399,3754
08-10-2018,1216,1258.35,1200,1251.45,108238,4980
05-10-2018,1223.95,1240.75,1198,1207.9,54882,2239
04-10-2018,1239.5,1239.5,1216.1,1227.9,59877,2304
03-10-2018,1270,1270.25,1240.6,1251.65,73131,2672
01-10-2018,1300,1307.5,1269,1278.6,78914,2384
28-09-2018,1305,1315,1285,1294.05,77323,4796
27-09-2018,1286.5,1312.35,1275.6,1286.6,418464,9212
26-09-2018,1308,1308,1275.1,1280.55,219800,3460
25-09-2018,1271.9,1303.75,1259.55,1290.95,72895,2620
24-09-2018,1305,1314.95,1245.85,1265.85,94790,3811
21-09-2018,1294,1324,1215,1303.1,139702,3715
19-09-2018,1309.8,1317,1286.1,1289.35,86254,2918
18-09-2018,1314.75,1380,1284.1,1291.15,336156,4117
17-09-2018,1331,1331,1301.05,1305.3,61515,2368
14-09-2018,1280.55,1332.65,1280.55,1331,66425,2233
12-09-2018,1297,1312.85,1280,1291.75,38324,1337
11-09-2018,1300,1312.75,1287.2,1295.85,43245,1751
10-09-2018,1310.4,1330,1280.15,1292.45,103813,4113
07-09-2018,1327,1337,1301,1317.35,40802,2700
06-09-2018,1330.2,1330.2,1308.5,1314.65,37461,1635
05-09-2018,1310.15,1330.4,1303.25,1317.3,66408,2854
04-09-2018,1366.8,1368.95,1304.4,1312.05,100617,3867
03-09-2018,1375,1387.45,1353,1359.45,65313,2634
31-08-2018,1376.5,1392.45,1365.8,1371.1,49395,1684
30-08-2018,1394,1398,1373.3,1375.95,66036,1579
29-08-2018,1409.3,1412.75,1388.35,1392,61309,1674
28-08-2018,1400.1,1419.75,1400.1,1407.4,59833,1895
27-08-2018,1397,1406,1396.5,1399.6,28368,1408
24-08-2018,1397,1410,1386,1392.5,74071,2189
23-08-2018,1405.5,1412.7,1391.1,1393.9,132990,2556
21-08-2018,1414.65,1424.75,1397,1402.15,115149,2695
20-08-2018,1408.95,1431.35,1399.65,1408.9,100596,2402
17-08-2018,1408,1408,1387.55,1399.8,59525,1518
16-08-2018,1403.9,1410,1387.2,1392.35,94680,2334
14-08-2018,1412,1415.8,1391.1,1395.55,52234,1207
13-08-2018,1424,1424,1394.75,1398.4,184172,2387
10-08-2018,1416,1438.5,1409.35,1418.1,69053,1997
09-08-2018,1426,1433.45,1412.65,1415.3,45181,1201
08-08-2018,1425,1447,1418,1425.2,81484,2416
07-08-2018,1409.75,1437.8,1400,1419.6,223914,3746
06-08-2018,1412,1421,1393.2,1396.8,51335,1289
03-08-2018,1436,1436,1406,1411.35,85300,2150
02-08-2018,1431,1443,1412,1418.45,32852,1362
01-08-2018,1460,1461.05,1432.55,1437.75,59085,1932
31-07-2018,1435.4,1454.4,1428,1448.3,98983,3112
30-07-2018,1449,1450.9,1427.75,1430.8,42461,1611
27-07-2018,1449,1452.3,1427.3,1433.25,81574,2317
26-07-2018,1451.85,1457.45,1422.35,1432.5,125742,6732
25-07-2018,1454,1488.6,1423.45,1450.3,235220,8758
24-07-2018,1440,1475,1428,1466.7,190846,7602
23-07-2018,1421.55,1465.1,1396.1,1433.7,144424,5509
20-07-2018,1400,1404.95,1382.2,1396.9,51548,2317
19-07-2018,1398,1408,1394.65,1399.45,50543,1748
18-07-2018,1385.6,1399.45,1379.75,1391.4,48107,2793
17-07-2018,1361.3,1383.1,1354.6,1377.9,37623,2105
16-07-2018,1370,1393.5,1351.55,1358.6,271048,3013
13-07-2018,1358,1374.95,1358,1368.5,219841,1164
12-07-2018,1370,1379.15,1347,1357.25,48760,1560
11-07-2018,1367,1383.7,1355.05,1358.3,37698,2051
10-07-2018,1362,1375.85,1356.5,1369.45,59194,2323
09-07-2018,1334,1370.65,1326.05,1364,113915,5448
06-07-2018,1327.5,1335.6,1309.75,1322.8,49753,1793
05-07-2018,1306.3,1326,1279.35,1321.85,61496,2066
04-07-2018,1298,1299.7,1283.25,1291.55,37055,1150
03-07-2018,1294,1309.2,1288.35,1291.9,70375,2566
02-07-2018,1265.05,1298.5,1261.8,1293.5,55582,2312
29-06-2018,1264.85,1270.95,1252.05,1264.1,30034,3360
28-06-2018,1270,1272.5,1250.8,1267.45,21279,799
27-06-2018,1278,1284.5,1262.2,1265.25,20158,773
26-06-2018,1259,1280,1254.05,1273.7,40037,2148
25-06-2018,1273,1279.8,1250.25,1254.05,24896,975
22-06-2018,1263.75,1273.75,1243.05,1268.2,35164,870
21-06-2018,1272.05,1278.45,1248.65,1254.4,29928,999
20-06-2018,1270,1275.5,1260,1272.1,17896,710
19-06-2018,1277,1286.8,1266,1268.65,29580,757
18-06-2018,1290,1290.75,1271.95,1276.7,30537,1400
15-06-2018,1298,1298,1269,1281.05,25313,846
14-06-2018,1280.1,1288.65,1275,1285.85,23220,1436
13-06-2018,1294.85,1294.85,1280.05,1282.4,14525,616
12-06-2018,1281,1292,1275.3,1284.45,23031,789
11-06-2018,1280,1296,1277.25,1284.9,24039,1020
08-06-2018,1278.6,1287,1270.85,1277.4,16952,693
07-06-2018,1265,1294.55,1263.05,1287.7,49077,1417
06-06-2018,1272.9,1272.9,1246.7,1263.75,71272,1106
05-06-2018,1281,1291.95,1270.1,1273.05,21756,890
04-06-2018,1295,1295,1266.1,1281.8,347098,1086
01-06-2018,1305.6,1313.1,1291.25,1293.5,14597,534
31-05-2018,1311.9,1311.9,1287,1305.6,30267,1013
30-05-2018,1295,1300.45,1284.65,1291.9,23776,797
29-05-2018,1325,1329.4,1290.25,1299.15,38649,1175
28-05-2018,1299,1335.1,1290,1319.5,50822,1951
25-05-2018,1295,1309.5,1281.4,1289.65,40483,1422
24-05-2018,1280,1302.95,1264.3,1290.2,30675,1194
23-05-2018,1287.9,1289.4,1271.2,1278.2,27335,929
22-05-2018,1301.85,1301.85,1278.25,1286.1,373891,1104
21-05-2018,1307,1314,1291.25,1300,23098,864
18-05-2018,1309,1316,1286.5,1306.95,39492,1484
17-05-2018,1323,1328,1305,1309.7,25348,991
16-05-2018,1303,1328.9,1285.55,1320.8,354559,1936
15-05-2018,1296,1322.55,1234,1310.05,232858,1808
14-05-2018,1280,1306.7,1270,1298.45,120706,1937
11-05-2018,1235,1294.4,1227.2,1289.6,306088,13114
10-05-2018,1234,1238.7,1201.55,1214.7,110452,2966
09-05-2018,1200,1229.05,1198,1224.1,165712,2594
08-05-2018,1216,1223.8,1204.05,1205.6,36632,1071
07-05-2018,1194.25,1216.9,1180.55,1212.9,29727,1149
04-05-2018,1206,1206,1180.55,1194.25,33809,1256
03-05-2018,1221.75,1230,1200,1206.5,40472,1257
02-05-2018,1200,1226.65,1197.5,1221.75,306683,3656
30-04-2018,1185,1206.15,1182.75,1200.15,32507,1177
27-04-2018,1163,1198.85,1163,1184.45,62621,1880
26-04-2018,1163.8,1176,1152.8,1159.85,31212,1172
25-04-2018,1160.05,1172.55,1156.8,1165.25,16257,599
24-04-2018,1176,1181.95,1163.5,1173.1,17987,720
23-04-2018,1150.05,1180.9,1150,1178.6,27081,1065
20-04-2018,1167,1167,1144.25,1159.1,30652,1086
19-04-2018,1180,1185.75,1164.75,1166.8,22411,855
18-04-2018,1176,1188,1167.05,1171.25,22273,1244
17-04-2018,1183.9,1186.65,1169.15,1175.15,25917,823
16-04-2018,1160,1186.95,1155,1177.9,36608,1397
13-04-2018,1169.9,1175,1151.5,1162.8,24806,998
12-04-2018,1165,1167.65,1146.05,1164.15,41697,1013
11-04-2018,1156,1159.5,1142,1155.5,16960,679
10-04-2018,1158.5,1166.5,1152,1155.3,21306,903
09-04-2018,1150,1175,1140.85,1158.05,61230,1851
06-04-2018,1145.2,1151.6,1135.3,1143.8,15290,639
05-04-2018,1153.05,1156.45,1136.25,1145.2,38352,1660
04-04-2018,1159.95,1160,1127.4,1137.6,45389,1546
03-04-2018,1150,1157.6,1138.6,1152.9,30821,903
02-04-2018,1125,1152,1112.6,1149.15,33013,1070
28-03-2018,1121.05,1129.7,1115.5,1120.7,40374,1147
27-03-2018,1118,1139,1116,1131.75,50601,1351
26-03-2018,1110,1122.75,1100,1118.8,97513,1511
23-03-2018,1082,1119,1082,1107.65,56367,1487
22-03-2018,1102.1,1110,1101.7,1107.35,80420,1081
21-03-2018,1100,1116.15,1100,1103.85,73643,1131
20-03-2018,1103,1116.8,1094.95,1106.55,21514,603
19-03-2018,1125.5,1130,1100.5,1102.5,49262,1254
16-03-2018,1160,1160,1121.5,1125.45,90623,2401
15-03-2018,1135,1163.65,1133.9,1160.95,43770,1730
14-03-2018,1140,1144.55,1131.35,1136.6,408337,1037
13-03-2018,1130.95,1141.9,1107,1137.8,67745,1099
12-03-2018,1134.15,1134.15,1120.35,1130.95,49867,960
09-03-2018,1129.5,1138,1121.1,1127.75,94744,1722
08-03-2018,1113.35,1129.5,1108.35,1125.6,152864,1427
07-03-2018,1102.55,1110,1095.9,1107.95,124276,1615
06-03-2018,1108.85,1108.85,1088,1102.75,88283,1257
05-03-2018,1118.55,1118.55,1100.55,1104.3,29928,743
01-03-2018,1120.25,1124.1,1108.45,1119.6,103641,1248
28-02-2018,1110.4,1122.95,1100.05,1118.85,50349,958
27-02-2018,1103.05,1112.95,1100.55,1110.2,35425,872
26-02-2018,1102.1,1115,1096.1,1106.25,77743,1343
23-02-2018,1119.9,1119.9,1100.95,1101.9,610022,2371
22-02-2018,1125.65,1125.65,1102.55,1116.35,77998,2224
21-02-2018,1129,1130.4,1115.05,1125.55,23849,1137
20-02-2018,1122,1134.55,1113.65,1126.7,81513,1060
19-02-2018,1145,1145,1107,1122.45,80809,1789
16-02-2018,1136.7,1146.15,1132,1143.7,66356,1548
15-02-2018,1155,1155,1124,1136.7,40785,1066
12-02-2018,1134.8,1149.5,1112.35,1145.45,177769,1696
09-02-2018,1110,1141.85,1105,1131.55,59800,1151
08-02-2018,1125.3,1129.4,1110.45,1124,85477,1696
07-02-2018,1115,1130,1108.2,1121,38942,790
06-02-2018,1113.55,1116.2,1090.55,1110.85,52356,1836
05-02-2018,1125,1135.85,1114,1134.35,70174,1457
02-02-2018,1146,1146.8,1123,1138.3,95524,1787
01-02-2018,1149.5,1155.1,1133.3,1152.45,240881,1553
31-01-2018,1130,1139.7,1125.15,1131.05,181667,1490
30-01-2018,1150,1150,1124,1128.9,664489,2334
29-01-2018,1151,1165,1145.05,1154.5,383037,2862
25-01-2018,1152,1160,1143.55,1149.75,295968,1288
24-01-2018,1170,1170,1144.5,1150.95,686397,2372
23-01-2018,1177,1178,1157.45,1167.7,135127,3929
22-01-2018,1195,1195,1165,1176.7,67306,1936
19-01-2018,1192,1197,1178.3,1193.4,49403,1193
18-01-2018,1195,1204,1181.4,1189.75,24520,732
17-01-2018,1189.55,1198.95,1150.75,1194.15,23524,961
16-01-2018,1201.25,1201.25,1184.75,1190.35,45135,832
15-01-2018,1192,1206.3,1188,1201.7,52609,1402
12-01-2018,1195,1195,1177.4,1189.65,30535,831
11-01-2018,1178,1190,1171.25,1188.85,31143,813
10-01-2018,1191.9,1191.9,1171.5,1177.4,246003,2360
09-01-2018,1180,1195.95,1174.3,1191.9,55541,977
08-01-2018,1184,1192,1173.75,1183.1,27707,768
05-01-2018,1172,1191,1168.55,1183.75,58612,1550
04-01-2018,1149.5,1178.7,1148.2,1172.05,75615,1630
03-01-2018,1150,1150,1136,1141.1,636697,4974
02-01-2018,1145,1149.4,1134.95,1142.85,22009,667
01-01-2018,1160,1165.55,1140,1146.5,21776,873
